ablation,dataset,split_protocol,task_type,metric_name,n_seeds,mean_test_metric,std_test_metric,ci95_lower,ci95_upper,ci95_margin,per_seed_metrics,config_source,mean_test_mae,mean_test_r2,train_test_shift_sd,r2_reliable
gcn_no_3d_codebook_fp,esol,scaffold,regression,rmse,5,1.4486,0.039,1.4002,1.497,0.0484,"[1.3995, 1.4304, 1.4461, 1.4621, 1.5048]",optuna_tuned:best_config.json(full_model_sibling),1.1452,0.5327,0.45,True
gcn_no_3d_codebook_fp,freesolv,scaffold,regression,rmse,5,2.7106,0.1189,2.563,2.8582,0.1476,"[2.5927, 2.598, 2.7178, 2.7722, 2.8722]",optuna_tuned:best_config.json(full_model_sibling),2.062,0.4433,0.8,True
gcn_no_3d_codebook_fp,lipo,scaffold,regression,rmse,5,0.9008,0.0193,0.8769,0.9248,0.024,"[0.8733, 0.8954, 0.8994, 0.9107, 0.9254]",optuna_tuned:best_config.json(full_model_sibling),0.708,0.3339,0.166,True
gcn_no_3d_codebook_fp,cep,scaffold,regression,rmse,5,1.4085,0.0203,1.3833,1.4337,0.0252,"[1.3884, 1.3913, 1.4053, 1.4212, 1.4363]",optuna_tuned:best_config.json(full_model_sibling),0.9096,0.695,0.011,True
gcn_no_3d_codebook_fp,malaria,scaffold,regression,rmse,5,2.0108,0.0112,1.9969,2.0247,0.0139,"[1.9965, 2.0083, 2.0094, 2.012, 2.0278]",optuna_tuned:best_config.json(full_model_sibling),1.7333,-3.2564,1.585,False
gcn_no_infonce_codebook_fp,esol,scaffold,regression,rmse,5,0.9361,0.0311,0.8975,0.9747,0.0386,"[0.8881, 0.9286, 0.9399, 0.9526, 0.971]",optuna_tuned:best_config.json(full_model_sibling),0.7002,0.8048,0.45,True
gcn_no_infonce_codebook_fp,freesolv,scaffold,regression,rmse,5,2.7644,0.2062,2.5084,3.0204,0.256,"[2.511, 2.5901, 2.8151, 2.9235, 2.9824]",optuna_tuned:best_config.json(full_model_sibling),2.1103,0.4192,0.8,True
gcn_no_infonce_codebook_fp,lipo,scaffold,regression,rmse,5,0.8826,0.0086,0.8719,0.8933,0.0107,"[0.8725, 0.8754, 0.8839, 0.8882, 0.8931]",optuna_tuned:best_config.json(full_model_sibling),0.6812,0.3607,0.166,True
gcn_no_infonce_codebook_fp,cep,scaffold,regression,rmse,5,1.3239,0.0358,1.2794,1.3683,0.0445,"[1.2892, 1.297, 1.3092, 1.355, 1.3688]",optuna_tuned:best_config.json(full_model_sibling),0.8208,0.7304,0.011,True
gcn_no_infonce_codebook_fp,malaria,scaffold,regression,rmse,5,2.0096,0.0101,1.9971,2.0221,0.0125,"[2.0019, 2.0026, 2.0065, 2.0104, 2.0265]",optuna_tuned:best_config.json(full_model_sibling),1.7305,-3.2513,1.585,False
gcn_no_3d_infonce_codebook_fp,esol,scaffold,regression,rmse,5,1.4254,0.0708,1.3375,1.5133,0.0879,"[1.3293, 1.3901, 1.4222, 1.4774, 1.5081]",optuna_tuned:best_config.json(full_model_sibling),1.1312,0.5469,0.45,True
gcn_no_3d_infonce_codebook_fp,freesolv,scaffold,regression,rmse,5,2.6813,0.1968,2.437,2.9256,0.2443,"[2.3897, 2.6289, 2.6858, 2.7826, 2.9196]",optuna_tuned:best_config.json(full_model_sibling),2.0191,0.4537,0.8,True
gcn_no_3d_infonce_codebook_fp,lipo,scaffold,regression,rmse,5,0.8995,0.0199,0.8748,0.9241,0.0247,"[0.8704, 0.8917, 0.9007, 0.9126, 0.9218]",optuna_tuned:best_config.json(full_model_sibling),0.7095,0.3359,0.166,True
gcn_no_3d_infonce_codebook_fp,cep,scaffold,regression,rmse,5,1.3717,0.0348,1.3285,1.4149,0.0432,"[1.3357, 1.3399, 1.3692, 1.4016, 1.4121]",optuna_tuned:best_config.json(full_model_sibling),0.8702,0.7106,0.011,True
gcn_no_3d_infonce_codebook_fp,malaria,scaffold,regression,rmse,5,2.0105,0.01,1.9981,2.0229,0.0124,"[2.0014, 2.0071, 2.0078, 2.0088, 2.0276]",optuna_tuned:best_config.json(full_model_sibling),1.733,-3.2553,1.585,False
gine_full_model,esol,scaffold,regression,rmse,5,0.8943,0.0078,0.8847,0.9039,0.0096,"[0.8881, 0.8883, 0.8913, 0.8975, 0.9064]",optuna_tuned:best_config.json,0.6804,0.822,0.45,True
gine_full_model,freesolv,scaffold,regression,rmse,5,2.643,0.2507,2.3317,2.9543,0.3113,"[2.3665, 2.4371, 2.644, 2.7922, 2.9751]",optuna_tuned:best_config.json,1.7736,0.4677,0.8,True
gine_full_model,lipo,scaffold,regression,rmse,5,0.7331,0.0199,0.7084,0.7578,0.0247,"[0.705, 0.7279, 0.7333, 0.7391, 0.7602]",optuna_tuned:best_config.json,0.5613,0.5588,0.166,True
gine_full_model,cep,scaffold,regression,rmse,5,1.1944,0.023,1.1658,1.223,0.0286,"[1.1683, 1.1787, 1.1905, 1.2092, 1.2254]",optuna_tuned:best_config.json,0.6278,0.7806,0.011,True
gine_full_model,malaria,scaffold,regression,rmse,5,1.9007,0.1042,1.7712,2.0301,0.1294,"[1.7266, 1.8799, 1.9599, 1.965, 1.9719]",optuna_tuned:best_config.json,1.6303,-2.812,1.585,False
gine_no_3d,esol,scaffold,regression,rmse,5,1.0817,0.0583,1.0094,1.1541,0.0723,"[1.0142, 1.0363, 1.08, 1.1254, 1.1528]",optuna_tuned:best_config.json(full_model_sibling),0.821,0.7389,0.45,True
gine_no_3d,freesolv,scaffold,regression,rmse,5,3.2813,0.3447,2.8532,3.7093,0.428,"[2.82, 3.0866, 3.3622, 3.4063, 3.7312]",optuna_tuned:best_config.json(full_model_sibling),2.1782,0.1782,0.8,True
gine_no_3d,lipo,scaffold,regression,rmse,5,0.7315,0.0217,0.7045,0.7584,0.027,"[0.7045, 0.7175, 0.732, 0.743, 0.7603]",optuna_tuned:best_config.json(full_model_sibling),0.5559,0.5607,0.166,True
gine_no_3d,cep,scaffold,regression,rmse,5,1.1286,0.0474,1.0697,1.1875,0.0589,"[1.0473, 1.133, 1.1403, 1.154, 1.1685]",optuna_tuned:best_config.json(full_model_sibling),0.5881,0.8039,0.011,True
gine_no_3d,malaria,scaffold,regression,rmse,5,1.8992,0.0625,1.8216,1.9767,0.0776,"[1.8235, 1.8518, 1.9079, 1.9338, 1.9789]",optuna_tuned:best_config.json(full_model_sibling),1.6294,-2.8001,1.585,False
gine_no_infonce,esol,scaffold,regression,rmse,5,0.8993,0.03,0.8621,0.9365,0.0372,"[0.8687, 0.8749, 0.8953, 0.9166, 0.941]",optuna_tuned:best_config.json(full_model_sibling),0.6805,0.8198,0.45,True
gine_no_infonce,freesolv,scaffold,regression,rmse,5,2.5196,0.2021,2.2687,2.7706,0.2509,"[2.3455, 2.3725, 2.4931, 2.5351, 2.852]",optuna_tuned:best_config.json(full_model_sibling),1.7686,0.5172,0.8,True
gine_no_infonce,lipo,scaffold,regression,rmse,5,0.7068,0.009,0.6955,0.718,0.0112,"[0.698, 0.6984, 0.7073, 0.7105, 0.7196]",optuna_tuned:best_config.json(full_model_sibling),0.5467,0.5901,0.166,True
gine_no_infonce,cep,scaffold,regression,rmse,5,1.1835,0.0191,1.1597,1.2072,0.0238,"[1.1622, 1.1725, 1.1771, 1.1955, 1.2101]",optuna_tuned:best_config.json(full_model_sibling),0.6425,0.7847,0.011,True
gine_no_infonce,malaria,scaffold,regression,rmse,5,1.9376,0.0392,1.8889,1.9863,0.0487,"[1.8811, 1.9284, 1.9299, 1.9672, 1.9816]",optuna_tuned:best_config.json(full_model_sibling),1.6614,-2.9534,1.585,False
gine_no_codebook,esol,scaffold,regression,rmse,5,0.969,0.0246,0.9385,0.9995,0.0305,"[0.9308, 0.9582, 0.9813, 0.9844, 0.9903]",optuna_tuned:best_config.json(full_model_sibling),0.7207,0.7909,0.45,True
gine_no_codebook,freesolv,scaffold,regression,rmse,5,2.7838,0.1079,2.6499,2.9177,0.1339,"[2.6322, 2.7254, 2.7964, 2.8664, 2.8985]",optuna_tuned:best_config.json(full_model_sibling),1.8515,0.413,0.8,True
gine_no_codebook,lipo,scaffold,regression,rmse,5,0.7144,0.015,0.6958,0.7331,0.0186,"[0.697, 0.7027, 0.7133, 0.7291, 0.73]",optuna_tuned:best_config.json(full_model_sibling),0.5527,0.5811,0.166,True
gine_no_codebook,cep,scaffold,regression,rmse,5,1.1484,0.0233,1.1194,1.1774,0.029,"[1.1315, 1.1332, 1.1384, 1.1509, 1.1879]",optuna_tuned:best_config.json(full_model_sibling),0.5866,0.7972,0.011,True
gine_no_codebook,malaria,scaffold,regression,rmse,5,1.8025,0.0608,1.7271,1.878,0.0755,"[1.731, 1.7667, 1.8071, 1.8149, 1.893]",optuna_tuned:best_config.json(full_model_sibling),1.5089,-2.4234,1.585,False
gine_no_fp,esol,scaffold,regression,rmse,5,0.9029,0.0068,0.8944,0.9114,0.0085,"[0.8942, 0.8983, 0.9032, 0.9078, 0.911]",optuna_tuned:best_config.json(full_model_sibling),0.6807,0.8185,0.45,True
gine_no_fp,freesolv,scaffold,regression,rmse,5,2.9066,0.2056,2.6514,3.1619,0.2553,"[2.6196, 2.7959, 2.95, 3.0142, 3.1535]",optuna_tuned:best_config.json(full_model_sibling),1.9446,0.3582,0.8,True
gine_no_fp,lipo,scaffold,regression,rmse,5,0.8557,0.0316,0.8165,0.8949,0.0392,"[0.8213, 0.8471, 0.8506, 0.8521, 0.9076]",optuna_tuned:best_config.json(full_model_sibling),0.6657,0.3985,0.166,True
gine_no_fp,cep,scaffold,regression,rmse,3,1.1634,0.017,1.1213,1.2056,0.0422,"[1.145, 1.1668, 1.1785]",optuna_tuned:best_config.json(full_model_sibling),0.6454,0.7919,0.011,True
gine_no_fp,malaria,scaffold,regression,rmse,4,1.8892,0.0499,1.8099,1.9686,0.0793,"[1.8488, 1.8544, 1.8971, 1.9567]",optuna_tuned:best_config.json(full_model_sibling),1.6156,-2.7592,1.585,False
gine_no_3d_infonce,esol,scaffold,regression,rmse,3,1.0469,0.0316,0.9685,1.1253,0.0784,"[1.0197, 1.0395, 1.0815]",optuna_tuned:best_config.json(full_model_sibling),0.8099,0.7559,0.45,True
gine_no_3d_infonce,freesolv,scaffold,regression,rmse,4,3.4191,0.6533,2.3795,4.4586,1.0395,"[2.9558, 3.0175, 3.3366, 4.3665]",optuna_tuned:best_config.json(full_model_sibling),2.3483,0.0913,0.8,True
gine_no_3d_infonce,lipo,scaffold,regression,rmse,4,0.7274,0.0142,0.7048,0.75,0.0226,"[0.7164, 0.7182, 0.7277, 0.7474]",optuna_tuned:best_config.json(full_model_sibling),0.5508,0.5657,0.166,True
gine_no_3d_infonce,cep,scaffold,regression,rmse,2,1.1074,0.0055,1.0581,1.1566,0.0493,"[1.1035, 1.1112]",optuna_tuned:best_config.json(full_model_sibling),0.57,0.8115,0.011,True
